"Jeffrey Stanton, "
"School of Data, "
"DJ Patil, "
"Carl Shan, Henry Wang, William Chen, & Max Song, "
"Brian Liou, Tristan Tao, & Declan Shener, "
"Hilary Mason & DJ Patil, "
"DJ Patil"
"Julie Steele,"
"Jeff Leek"
"Tom White,"
"Jimmy Lin & Chris Dyer,"
"Allen Downey, "
"Wikibooks"
" Al Sweigart, "
"Zed A. Shaw,"
"Roger D. Peng, "
"Wikibooks, "
"Hadley Wickham, "
"Zed. A. Shaw,"
"Tutorials Point"
"Amnon Shashua, "
" Abdelhamid Mellouk & Abdennacer Chebira, "
"Wikipedia"
"Reza Zafarani, Mohammad Ali Abbasi, & Huan Liu, "
"Ian H. Witten & Eibe Frank"
"Jure Leskovec, Anand Rajaraman, & Jeff Ullman"
"Ron Zacharski, "
"Graham Williams,"
"Mohammed J. Zaki & Wagner Meria Jr.,"
" Cam Davidson-Pilon, "
"Michael J.A. Berry & Gordon S. Linoff"
"Nada Lavrac & Saso Dzeroski, "
"Christopher M. Bishop, "
"D. Michie, D.J. Spiegelhalter, & C.C. Taylor, "
"David J.C. MacKay, "
"Johannes Ledolter"
"David Barber,"
"C. E. Rasmussen & C. K. I. Williams, "
"Richard S. Sutton & Andrew G. Barto, "
"Csaba Szepesvari , "
"Jared Dean"
"Ben Klemens, "
"Roberto Bello, "
"Yoshua Bengio, Ian J. Goodfellow, & Aaron Courville,"
"Michael Nielsen,"
"Wikibooks, "
"Mohammed J. Zaki & Wagner Meira Jr., "
"Shigeaki Sakurai, "
"Allen B. Downey, "
"Allen B. Downey, "
"Trevor Hastie, Robert Tibshirani, & Jerome Friedman, "
"Gareth James, Daniela Witten, Trevor Hastie, & Robert Tibshirani,"
"Gary W. Oehlert,"
"Malcolm Maclean,"
"Scott Murray,"
"Jeffrey Needham, "
"Mike Barlow, "
"O’Reilly Media, Inc., "
"Steven Bird,"
"Richard Szeliski,"
"Reinhard Klette,"
"Stuart Russell, "
